"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.472262510E-1,-6.073349118E-1,1.243761420E0,-9.605573118E-2
7.521225540E-1,-6.048914790E-1,1.529637933E0,-8.689302206E-2
7.570188560E-1,-5.987830162E-1,1.768479228E0,-9.116895497E-2
7.619152100E-1,-5.847335458E-1,1.948068261E0,-1.088835225E-1
7.668115120E-1,-5.657972693E-1,2.068405151E0,-1.375933439E-1
7.717078140E-1,-5.493044257E-1,2.139339924E0,-1.589729935E-1
7.766041680E-1,-5.425850749E-1,2.165606260E0,-1.675248593E-1
7.815004700E-1,-5.499152541E-1,2.163162947E0,-1.699682474E-1
7.863967720E-1,-5.676298141E-1,2.124679565E0,-1.687465608E-1
7.913113040E-1,-5.755708218E-1,2.032976151E0,-1.559187621E-1
7.961894290E-1,-5.541911721E-1,1.879042506E0,-1.272089481E-1
8.010857310E-1,-5.034908652E-1,1.667689323E0,-9.055810422E-2
8.059820850E-1,-4.436278343E-1,1.431902289E0,-5.146388337E-2
8.108783870E-1,-3.929274976E-1,1.209553957E0,-8.093725890E-3
8.157746890E-1,-3.636068404E-1,1.023856401E0,5.726693198E-2
8.206710430E-1,-3.458922505E-1,8.803072572E-1,1.452289373E-1
8.255673450E-1,-3.275668323E-1,7.776849270E-1,2.485384792E-1
8.304818760E-1,-2.988570333E-1,7.098808885E-1,3.542150557E-1
8.353599490E-1,-2.664821148E-1,6.701757908E-1,4.598916173E-1
8.402744810E-1,-2.377723008E-1,6.518504024E-1,5.643464923E-1
8.451526060E-1,-2.127275616E-1,6.487961411E-1,6.633037925E-1
8.500489080E-1,-1.895153672E-1,6.695649624E-1,7.494332194E-1
8.549452620E-1,-1.589729935E-1,7.300388217E-1,8.239566088E-1
8.598597410E-1,-1.168245375E-1,8.289960623E-1,8.899281025E-1
8.647378660E-1,-6.184828654E-2,9.572740197E-1,9.326874018E-1
8.696523450E-1,1.679830020E-3,1.098990560E0,9.461260438E-1
8.745305220E-1,6.459710002E-2,1.230322719E0,9.278006554E-1
8.794450010E-1,1.220167428E-1,1.335999370E0,8.832087517E-1
8.843231260E-1,1.696628332E-1,1.409300923E0,8.135721684E-1
8.892376580E-1,2.081461996E-1,1.448395252E0,7.213342786E-1
8.941157830E-1,2.386885732E-1,1.444730163E0,6.095492244E-1
8.990120850E-1,2.655658424E-1,1.407468438E0,4.824929833E-1
9.039084390E-1,2.924431264E-1,1.347605467E0,3.389438689E-1
9.088047410E-1,3.174878657E-1,1.270027757E0,1.789018959E-1
9.137010430E-1,3.358132839E-1,1.166794658E0,1.939439960E-2
9.185973970E-1,3.474193811E-1,1.042792678E0,-1.314848661E-1
9.234936990E-1,3.559712470E-1,9.187906384E-1,-2.609844804E-1
9.283900010E-1,3.645231128E-1,8.155574203E-1,-3.617742956E-1
9.332863040E-1,3.749074936E-1,7.373690009E-1,-4.277457893E-1
9.382801060E-1,3.846810758E-1,6.738408804E-1,-4.607315361E-1
9.430789080E-1,3.920112252E-1,6.115344763E-1,-4.570664763E-1
9.479753140E-1,3.944546282E-1,5.455629826E-1,-4.210264683E-1
9.528716160E-1,3.938437700E-1,4.802022874E-1,-3.697153032E-1
9.577679180E-1,3.920112252E-1,4.111765623E-1,-3.080197275E-1
9.626642200E-1,3.889569938E-1,3.238253891E-1,-2.402156889E-1
9.675605740E-1,3.822376728E-1,2.157054394E-1,-1.705790907E-1
9.724568760E-1,3.791834414E-1,1.149156392E-1,-1.131594554E-1
9.773531790E-1,3.846810758E-1,5.444176123E-2,-6.245913357E-2
9.822495330E-1,3.968980014E-1,4.955498502E-2,-7.482878864E-3
9.871458350E-1,4.158342779E-1,9.536852688E-2,6.581879407E-2
9.920421370E-1,4.396573007E-1,1.894390136E-1,1.538571566E-1
9.969384390E-1,4.610369802E-1,3.195494711E-1,2.405974567E-1
1.001834793E0,4.708105326E-1,4.539358616E-1,3.187859058E-1
1.006731095E0,4.598152637E-1,5.693860054E-1,3.890333474E-1
1.011627397E0,4.347705245E-1,6.530720592E-1,4.311818182E-1
1.016523751E0,4.023956358E-1,7.104917169E-1,4.299601018E-1
1.021420054E0,3.663556576E-1,7.404232621E-1,3.994177580E-1
1.026316356E0,3.278722763E-1,7.453100085E-1,3.407764137E-1
1.031212710E0,2.893888950E-1,7.349256277E-1,2.638096511E-1
1.036109012E0,2.472404242E-1,7.129350901E-1,1.850103587E-1
1.041005314E0,2.026485801E-1,6.866686940E-1,1.097997949E-1
1.045901668E0,1.556133330E-1,6.634564996E-1,4.443913698E-2
1.050797970E0,1.195733473E-1,6.243622303E-1,-1.359135192E-2
1.055694272E0,1.036913246E-1,5.437304378E-1,-6.123743951E-2
1.060608804E0,1.036913246E-1,4.062897861E-1,-1.015533581E-1
1.065486929E0,1.030804738E-1,2.328091562E-1,-1.455343664E-1
1.070401408E0,9.452861547E-2,6.360447407E-2,-1.944021434E-1
1.075279533E0,8.414421231E-2,-5.978667364E-2,-2.328855246E-1
1.080175887E0,8.536590636E-2,-1.214822456E-1,-2.481566966E-1
1.085072189E0,1.000262350E-1,-1.330883503E-1,-2.377723008E-1
1.089986668E0,1.201841980E-1,-1.227039397E-1,-2.072299272E-1
1.094864845E0,1.452289373E-1,-1.080436110E-1,-1.644706279E-1
1.099779324E0,1.733279079E-1,-8.788564801E-2,-1.119377613E-1
1.104657449E0,2.014268786E-1,-6.100837141E-2,-5.024218559E-2
1.109571981E0,2.301367074E-1,-3.718532622E-2,2.611372061E-2
1.114450106E0,2.612899244E-1,-1.885990985E-2,1.049130186E-1
1.119349949E0,2.924431264E-1,-1.756185899E-3,1.703500301E-1
1.124242710E0,3.107685447E-1,1.168245357E-2,2.137201875E-1
1.129139064E0,3.101576865E-1,2.756448276E-2,2.369323820E-1
1.134035366E0,2.912214398E-1,5.383091420E-2,2.479276359E-1
1.138935158E0,2.619007528E-1,8.864920586E-2,2.399866134E-1
1.143828022E0,2.356343269E-1,1.265217364E-1,1.947839260E-1
1.148724324E0,2.130329758E-1,1.595074832E-1,1.305686086E-1
1.153620626E0,1.892099380E-1,1.839413792E-1,6.093201414E-2
1.158516929E0,1.653869003E-1,2.053210288E-1,-7.482878864E-3
1.163413283E0,1.458397806E-1,2.334200144E-1,-7.773031294E-2
1.168309585E0,1.311794519E-1,2.578538954E-1,-1.504211426E-1
