"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.776572918E0,5.464608669E-1,9.276674271E0,2.120339870E0
1.781469272E0,5.991029739E-1,9.080462456E0,2.096112728E0
1.786365574E0,7.378866673E-1,8.975178719E0,1.933400750E0
1.791280054E0,8.312067389E-1,9.034998894E0,1.674975872E0
1.796158179E0,8.862416744E-1,9.085248947E0,1.437787294E0
1.801054533E0,1.041775107E0,9.183354378E0,1.253539920E0
1.805950835E0,9.532406926E-1,9.032606125E0,1.370788217E0
1.810865314E0,6.684948206E-1,9.042177200E0,1.421037555E0
1.815743491E0,5.392823815E-1,9.245567322E0,1.540678620E0
1.820657970E0,5.871388316E-1,9.286245346E0,1.572084427E0
1.825536095E0,6.517450809E-1,9.116354942E0,1.622333765E0
1.830432397E0,7.833502889E-1,9.070891380E0,1.610369682E0
1.835328751E0,8.048857450E-1,9.066105843E0,1.651047587E0
1.840225054E0,7.666005492E-1,9.106783867E0,1.617548108E0
1.845121356E0,6.589235067E-1,9.204889297E0,1.629512191E0
1.850017710E0,6.661019921E-1,9.468399048E0,1.562513232E0
1.854914012E0,5.201398134E-1,9.456435204E0,1.756331801E0
1.859810314E0,3.475574851E-1,9.394221306E0,2.091326952E0
1.864706668E0,2.087737769E-1,9.430113792E0,2.414657116E0
1.869602970E0,2.039881349E-1,9.487542152E0,2.536691189E0
1.874499272E0,2.422732860E-1,9.540184021E0,2.512762785E0
1.879395626E0,2.518445849E-1,9.523433685E0,2.397907495E0
1.884291929E0,3.020938635E-1,9.470791817E0,2.290230274E0
1.889188231E0,3.284149170E-1,9.413364410E0,2.175374985E0
1.894084533E0,3.762713671E-1,9.430113792E0,2.036292076E0
1.898980887E0,4.384847581E-1,9.492327690E0,1.840080619E0
1.903877189E0,5.057829022E-1,9.595218658E0,1.641476393E0
1.908773491E0,4.986044168E-1,9.726823807E0,1.468894005E0
1.913669845E0,5.344967842E-1,9.820143700E0,1.444965720E0
1.918566147E0,4.839483798E-1,9.884750366E0,1.548156261E0
1.923462449E0,4.504488707E-1,9.927821159E0,1.631905079E0
1.928358804E0,4.384847581E-1,9.894321442E0,1.557727575E0
1.933255106E0,4.624129832E-1,9.820143700E0,1.483250976E0
1.938151408E0,5.153541565E-1,9.748359680E0,1.428215981E0
1.943047762E0,4.938187599E-1,9.643074989E0,1.490429401E0
1.947944064E0,5.225326419E-1,9.674181938E0,1.375573874E0
1.952840366E0,5.847460628E-1,9.700503349E0,1.181755304E0
1.957736668E0,6.565307379E-1,9.664610863E0,9.230313301E-1
1.962633022E0,6.182455420E-1,9.513862610E0,9.637092948E-1
1.967529324E0,6.900302172E-1,9.535398483E0,9.517452121E-1
1.972425626E0,7.019943595E-1,9.590433121E0,9.445667267E-1
1.977321981E0,6.900302172E-1,9.650253296E0,8.991031051E-1
1.982218283E0,6.924230456E-1,9.600004196E0,9.589236975E-1
1.987114585E0,6.637091637E-1,9.566504478E0,1.066899776E0
1.992010939E0,6.900302172E-1,9.662218094E0,1.095613718E0
1.996907241E0,7.594220638E-1,9.698110580E0,1.145862937E0
2.001803543E0,8.144569993E-1,9.748359680E0,1.112363458E0
2.006699845E0,8.359923959E-1,9.791430473E0,1.090828061E0
2.011596199E0,7.857431173E-1,9.868000984E0,1.117149115E0
2.016492501E0,6.780661345E-1,9.865608215E0,1.299003601E0
