"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
2.106939481E0,6.187500477E0,-4.473750305E1,-3.200625229E1
2.116939481E0,6.243750095E0,-4.475625229E1,-3.161250114E1
2.126939481E0,6.225000381E0,-4.477500153E1,-3.181875038E1
2.136939481E0,6.093750477E0,-4.486875153E1,-3.174375153E1
2.146939481E0,6.168750286E0,-4.509375000E1,-3.166875076E1
2.156939481E0,5.868750095E0,-4.539375305E1,-3.196875191E1
2.166939481E0,5.775000095E0,-4.543125153E1,-3.232500076E1
2.176939481E0,5.512500286E0,-4.554375076E1,-3.230625153E1
2.186939481E0,5.362500191E0,-4.554375076E1,-3.236250305E1
2.196939481E0,5.137500286E0,-4.548750305E1,-3.277500153E1
2.206939481E0,4.856250286E0,-4.567500305E1,-3.288750076E1
2.216939481E0,4.593750000E0,-4.554375076E1,-3.316875076E1
2.226939481E0,4.518750191E0,-4.528125000E1,-3.337500000E1
2.236939481E0,4.331250191E0,-4.509375000E1,-3.326250076E1
2.246939481E0,4.218750000E0,-4.466250229E1,-3.331875229E1
2.256939481E0,4.331250191E0,-4.458750153E1,-3.333750153E1
2.266939481E0,4.162500381E0,-4.447500229E1,-3.361875153E1
2.276939481E0,4.181250095E0,-4.428750229E1,-3.375000000E1
2.286939481E0,4.237500191E0,-4.410000229E1,-3.380625153E1
2.296939481E0,4.181250095E0,-4.398750305E1,-3.399375153E1
2.306939481E0,3.787500143E0,-4.398750305E1,-3.412500000E1
2.316939481E0,3.468750238E0,-4.395000076E1,-3.423750305E1
2.326939481E0,3.262500048E0,-4.396875000E1,-3.444375229E1
2.336939481E0,3.112500191E0,-4.381875229E1,-3.472500229E1
2.346939481E0,2.962500095E0,-4.374375153E1,-3.474375153E1
2.356939481E0,2.793750048E0,-4.381875229E1,-3.493125153E1
2.366939481E0,2.756250143E0,-4.374375153E1,-3.506250000E1
2.376939481E0,2.775000095E0,-4.363125229E1,-3.485625076E1
2.386939481E0,2.943750143E0,-4.342500305E1,-3.474375153E1
2.396939481E0,3.131250143E0,-4.329375076E1,-3.491250229E1
2.406939481E0,3.393750191E0,-4.335000229E1,-3.465000153E1
2.416939481E0,3.562500238E0,-4.351875305E1,-3.448125076E1
2.426939481E0,3.768750191E0,-4.359375000E1,-3.446250153E1
2.436939481E0,3.787500143E0,-4.351875305E1,-3.429375076E1
2.446939481E0,3.750000238E0,-4.361250305E1,-3.414375305E1
2.456939481E0,3.862500191E0,-4.381875229E1,-3.397500229E1
2.466939481E0,4.162500381E0,-4.395000076E1,-3.393750000E1
2.476939481E0,4.518750191E0,-4.381875229E1,-3.388125229E1
2.486939481E0,4.706250191E0,-4.385625076E1,-3.382500076E1
2.496939481E0,4.687500000E0,-4.374375153E1,-3.386250305E1
2.506939481E0,4.818750381E0,-4.398750305E1,-3.360000229E1
2.516939481E0,5.137500286E0,-4.425000000E1,-3.352500153E1
2.526939481E0,5.493750095E0,-4.441875076E1,-3.388125229E1
2.536939481E0,5.625000000E0,-4.423125076E1,-3.425625229E1
2.546939481E0,5.737500191E0,-4.432500076E1,-3.423750305E1
2.556939481E0,5.625000000E0,-4.449375153E1,-3.408750153E1
2.566939481E0,5.793750286E0,-4.438125229E1,-3.406875229E1
2.576939481E0,6.075000286E0,-4.428750229E1,-3.403125000E1
2.586939481E0,6.300000191E0,-4.428750229E1,-3.423750305E1
2.596939481E0,6.656250477E0,-4.387500000E1,-3.414375305E1
2.606939481E0,6.787500381E0,-4.385625076E1,-3.360000229E1
2.616939481E0,7.068750381E0,-4.391250229E1,-3.326250076E1
2.626939481E0,7.275000095E0,-4.391250229E1,-3.318750000E1
2.636939481E0,7.687500477E0,-4.376250076E1,-3.300000000E1
2.646939481E0,7.762500286E0,-4.368750000E1,-3.298125076E1
2.656939481E0,8.175000191E0,-4.355625153E1,-3.283125305E1
2.666939481E0,8.362500191E0,-4.320000076E1,-3.275625229E1
2.676939481E0,8.400000572E0,-4.338750076E1,-3.281250000E1
2.686939481E0,8.568750381E0,-4.303125000E1,-3.313125229E1
2.696939481E0,8.812500000E0,-4.312500000E1,-3.320625305E1
2.706939481E0,8.962500572E0,-4.291875076E1,-3.341250229E1
2.716939481E0,9.318750381E0,-4.265625000E1,-3.341250229E1
2.726939481E0,9.600000381E0,-4.263750076E1,-3.350625229E1
2.736939481E0,9.637500763E0,-4.271250153E1,-3.384375000E1
2.746939481E0,9.918750763E0,-4.278750229E1,-3.405000305E1
2.756939481E0,1.018125057E1,-4.258125305E1,-3.414375305E1
2.766939481E0,1.029375076E1,-4.248750305E1,-3.397500229E1
2.776939481E0,1.042500019E1,-4.216875076E1,-3.395625305E1
2.786939481E0,1.042500019E1,-4.216875076E1,-3.386250305E1
2.796939481E0,1.055625057E1,-4.237500000E1,-3.406875229E1
2.806939481E0,1.066875076E1,-4.239375305E1,-3.384375000E1
2.816939481E0,1.063125038E1,-4.248750305E1,-3.371250153E1
2.826939481E0,1.057500076E1,-4.243125153E1,-3.337500000E1
2.836939481E0,1.068750000E1,-4.235625076E1,-3.333750153E1
2.846939481E0,1.081875038E1,-4.252500153E1,-3.343125153E1
2.856939481E0,1.087500000E1,-4.254375076E1,-3.361875153E1
2.866939481E0,1.102500057E1,-4.260000229E1,-3.348750305E1
2.876939481E0,1.095000076E1,-4.260000229E1,-3.326250076E1
2.886939481E0,1.087500000E1,-4.252500153E1,-3.348750305E1
2.896939481E0,1.113750076E1,-4.254375076E1,-3.330000305E1
2.906939481E0,1.136250019E1,-4.237500000E1,-3.350625229E1
2.916939481E0,1.143750000E1,-4.241250229E1,-3.313125229E1
2.926939481E0,1.170000076E1,-4.224375153E1,-3.300000000E1
2.936939481E0,1.201875019E1,-4.226250076E1,-3.268125153E1
2.946939481E0,1.230000019E1,-4.222500229E1,-3.268125153E1
2.956939481E0,1.275000095E1,-4.220625305E1,-3.266250229E1
2.966939481E0,1.323750019E1,-4.228125000E1,-3.249375153E1
2.976939481E0,1.350000095E1,-4.222500229E1,-3.249375153E1
2.986939481E0,1.380000019E1,-4.241250229E1,-3.198750114E1
2.996939481E0,1.415625095E1,-4.245000076E1,-3.204375076E1
3.006939481E0,1.432500076E1,-4.276875305E1,-3.183750153E1
3.016939481E0,1.456875038E1,-4.269375229E1,-3.181875038E1
3.026939481E0,1.485000038E1,-4.276875305E1,-3.163125038E1
3.036939481E0,1.507500076E1,-4.273125076E1,-3.140625191E1
3.046939481E0,1.516875076E1,-4.252500153E1,-3.135000038E1
3.056939481E0,1.545000076E1,-4.222500229E1,-3.125625038E1
3.066939481E0,1.556250095E1,-4.205625153E1,-3.151875114E1
3.076939481E0,1.563750076E1,-4.181250000E1,-3.131250191E1
3.086939481E0,1.575000095E1,-4.140000153E1,-3.136875153E1
3.096939481E0,1.563750076E1,-4.125000000E1,-3.140625191E1
3.106939481E0,1.565625095E1,-4.087500000E1,-3.135000038E1
3.116939481E0,1.541250038E1,-4.083750153E1,-3.174375153E1
3.126939481E0,1.533750057E1,-4.110000229E1,-3.191250038E1
3.136939481E0,1.501875019E1,-4.119375229E1,-3.195000076E1
3.146939481E0,1.471875095E1,-4.110000229E1,-3.202500153E1
3.156939481E0,1.447500038E1,-4.126875305E1,-3.245625305E1
3.166939481E0,1.410000038E1,-4.140000153E1,-3.270000076E1
3.176939481E0,1.396875095E1,-4.158750153E1,-3.285000229E1
3.186939481E0,1.381875038E1,-4.181250000E1,-3.301875305E1
3.196939481E0,1.361250019E1,-4.198125076E1,-3.307500076E1
3.206939481E0,1.335000038E1,-4.183125305E1,-3.320625305E1
3.216939481E0,1.316250038E1,-4.192500305E1,-3.361875153E1
3.226939481E0,1.310625076E1,-4.192500305E1,-3.371250153E1
3.236939481E0,1.306875038E1,-4.196250153E1,-3.386250305E1
3.246939481E0,1.316250038E1,-4.203750229E1,-3.382500076E1
3.256939481E0,1.308750057E1,-4.205625153E1,-3.395625305E1
3.266939481E0,1.299375057E1,-4.177500153E1,-3.412500000E1
3.276939481E0,1.299375057E1,-4.160625076E1,-3.416250229E1
3.286939481E0,1.305000019E1,-4.147500229E1,-3.405000305E1
3.296939481E0,1.323750019E1,-4.140000153E1,-3.393750000E1
3.306939481E0,1.314375019E1,-4.171875000E1,-3.399375153E1
3.316939481E0,1.297500038E1,-4.162500000E1,-3.386250305E1
3.326939481E0,1.308750057E1,-4.155000305E1,-3.391875076E1
3.336939481E0,1.303125095E1,-4.134375000E1,-3.401250076E1
3.346939481E0,1.284375095E1,-4.168125153E1,-3.397500229E1
3.356939481E0,1.282500076E1,-4.164375305E1,-3.397500229E1
3.366939481E0,1.260000038E1,-4.168125153E1,-3.410625076E1
3.376939481E0,1.254375076E1,-4.164375305E1,-3.408750153E1
3.386939481E0,1.261875057E1,-4.138125229E1,-3.405000305E1
3.396939481E0,1.271250057E1,-4.132500076E1,-3.420000076E1
3.406939481E0,1.252500057E1,-4.111875153E1,-3.427500153E1
3.416939481E0,1.245000076E1,-4.128750229E1,-3.420000076E1
3.426939481E0,1.233750057E1,-4.126875305E1,-3.435000229E1
3.436939481E0,1.243125057E1,-4.125000000E1,-3.427500153E1
3.446939481E0,1.260000038E1,-4.113750076E1,-3.431250000E1
3.456939481E0,1.239375019E1,-4.096875000E1,-3.433125305E1
3.466939481E0,1.231875038E1,-4.093125153E1,-3.440625000E1
3.476939481E0,1.222500038E1,-4.095000076E1,-3.435000229E1
3.486939481E0,1.220625019E1,-4.104375076E1,-3.450000000E1
3.496939481E0,1.207500076E1,-4.093125153E1,-3.435000229E1
3.506939481E0,1.198125076E1,-4.072500229E1,-3.457500076E1
3.516939481E0,1.168125057E1,-4.080000305E1,-3.483750153E1
3.526939481E0,1.151250076E1,-4.087500000E1,-3.502500153E1
3.536939481E0,1.140000057E1,-4.106250000E1,-3.491250229E1
3.546939481E0,1.121250057E1,-4.104375076E1,-3.511875153E1
3.556939481E0,1.096875000E1,-4.110000229E1,-3.530625153E1
3.566939481E0,1.068750000E1,-4.123125076E1,-3.528750229E1
3.576939481E0,1.072500038E1,-4.117500305E1,-3.560625076E1
3.586939481E0,1.078125000E1,-4.130625153E1,-3.545625305E1
3.596939481E0,1.080000019E1,-4.128750229E1,-3.556875229E1
