"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
8.598597410E-1,-7.518815994E-1,7.978534698E-1,-1.792470098E0
8.647378660E-1,-6.861058474E-1,5.725755692E-1,-1.781673074E0
8.696523450E-1,-5.221765041E-1,3.122329712E-1,-1.677478790E0
8.745305220E-1,-4.207714200E-1,-1.140689850E-2,-1.485334396E0
8.794450010E-1,-3.429709375E-1,-3.312759399E-1,-1.258349061E0
8.843231260E-1,-3.042562604E-1,-6.757545471E-1,-1.044940710E0
8.892376580E-1,-2.303242981E-1,-1.037487030E0,-7.905975580E-1
8.941157830E-1,-3.519928455E-2,-1.394792557E0,-4.414234161E-1
8.990120850E-1,1.639474928E-1,-1.712020397E0,-7.179236412E-2
9.039084390E-1,3.533289433E-1,-1.948944092E0,2.491247654E-1
9.088047410E-1,6.215988398E-1,-2.096491337E0,5.215537548E-1
9.137010430E-1,7.418594956E-1,-2.143209934E0,7.430872917E-1
9.185973970E-1,7.928739190E-1,-2.072952271E0,9.113292694E-1
9.234936990E-1,7.145797014E-1,-1.855437756E0,9.931490421E-1
9.283900010E-1,5.162112713E-1,-1.498681545E0,9.890983105E-1
9.332863040E-1,2.757383883E-1,-1.079704285E0,9.331331253E-1
9.382801060E-1,3.551408648E-2,-6.679878235E-1,8.830597401E-1
9.430789080E-1,-2.602527738E-1,-2.585153580E-1,8.875553608E-1
9.479753140E-1,-5.158245564E-1,1.580181122E-1,8.924698830E-1
9.528716160E-1,-4.256143570E-1,4.912023544E-1,8.710718155E-1
9.577679180E-1,-3.134589195E-1,6.534118652E-1,8.876953125E-1
9.626642200E-1,-1.847373247E-1,7.551040649E-1,9.396135807E-1
9.675605740E-1,-6.843709946E-2,7.918834686E-1,9.359121323E-1
9.724568760E-1,2.337848544E-1,9.188442230E-1,9.080228806E-1
9.773531790E-1,4.931703806E-1,1.035406113E0,7.780213356E-1
9.822495330E-1,4.890300333E-1,1.136778831E0,4.921829700E-1
9.871458350E-1,1.225678325E-1,1.291965485E0,1.851480007E-1
9.920421370E-1,-2.829343081E-1,1.483925819E0,1.454377174E-2
9.969384390E-1,-4.410954714E-1,1.550597191E0,-1.299109459E-1
1.001834793E0,-4.481013417E-1,1.414258003E0,-1.822195053E-1
1.006731095E0,-5.785064697E-1,1.133414268E0,-2.415449619E-1
1.011627397E0,-3.973500729E-1,7.305030823E-1,-2.062189579E-1
1.016523751E0,-3.793066740E-2,3.730564117E-1,-8.193969727E-2
1.021420054E0,1.521862745E-1,1.091861725E-2,5.912089348E-2
1.026316356E0,2.725764513E-1,-2.938938141E-1,2.762317657E-1
1.031212710E0,3.576499224E-1,-4.487819672E-1,4.284541607E-1
1.036109012E0,1.860666275E-1,-4.521207809E-1,5.302278996E-1
1.041005314E0,6.379956007E-2,-4.976062775E-1,5.912334919E-1
1.045901668E0,-3.602105379E-2,-5.397825241E-1,5.972976685E-1
1.050797970E0,-1.545169950E-1,-5.144987106E-1,7.873651981E-1
